Sigla,Name,Índice-__H,level
PADTAD,"Workshop on Parallel and Distributed Systems: Testing, Analysis, and Debugging",14,3
ParCo,International Conference on Parallel Computing,14,3
SAFEProcess,IFAC Symposioum on Fault Detection Supervision and Safety of Technical Processes,14,3
SBM,Eurographics Workshop on Sketch-Based Interfaces and Modeling,14,3
SBRN,Simpósio Brasileiro de Redes Neurais,14,3
SemWiki,Semantic Wiki Workshop,14,3
SERA,"ACIS International Conference on Software Engineering Research, Management and Applications",14,3
STEP,IEEE International Workshop on Software Technology and Engineering Practice,14,3
VAMOS,International Workshop on Variability Modeling of Software-intensive Systems,14,3
VISAPP,International Conference on Computer Vision Theory and Applications,14,3
WER,Workshop de Engenharia de Requisitos,14,3
WMUTE,"IEEE Wireless, Mobile and Ubiquitous Technologies in Education",14,3
WTS,Wireless Telecommunications Symposium ,14,3
ADPRL,IEEE International Symposium on Approximate Dynamic Programming and Reinforcement Learning,13,3
AISC,International Conference on Artificial Intel igence and Symbolic Computing,13,3
